"id"	"ordre"	"titre_court"	"resume"
"117d4b40-be9c-4af1-937e-58c78800f863"	1	"La gare de Châteaulin-ville (Châteaulin)"	"L'ancienne gare de Châteaulin-ville était le terminus de la ligne Carhaix-Châteaulin, via Pleyben (Réseau Breton), mise en service en août 1906 et fermée en 1967. Certains tronçons de cette voie ferrée devenue axe routier permettent de traverser la ville via l'ancien pont ferroviaire ; daté de 1906, il faisait la jonction avec la gare de Châteaulin-Embranchement.

La gare est actuellement occupée par la maison du vélo."
"c612ae88-6082-4ced-9048-4b189042813f"	2	"La gare de Châteaulin-Embranchement (Châteaulin)"	"La gare de Châteaulin est située à l'ouest de la ville sur une hauteur ; sa desserte, via deux viaducs, a nécessité d'important travaux de terrassement ainsi que la construction de ponts à arche unique (moellons hexagonaux et pierre de taille) afin de maintenir les voies de communication antérieures. L'espace dédié à la gare est un vaste terre-plein recevant hangars pour l'entretien du matériel, halle de marchandises, maison de garde-barrière, maison du responsable du district et un germoir d'où provenaient les plants expédiés par voie ferrée.

La gare des voyageurs est de plan rectangulaire à étage carré, toit à croupe et élévation ordonnancée, flanquée de deux corps de bâtiments latéraux. Soubassement pierre de taille de granite, mise en oeuvre en brique et calcaire à assises alternées, pilastres aux angles et en façade."
"65d3aae1-d2ca-4228-b489-f01e1c384e77"	3	"Ancienne halte ferroviaire dite gare d'Argol"	"Située sur l'ancienne ligne de chemin de fer à voie étroite de Châteaulin à Camaret, la halte de Croas Séméno, appelée également gare d'Argol, ne figure pas dans le projet initial de 1910. Elle est construite entre 1920 et 1923 comme les autres gares et haltes du tronçon compris entre Châteaulin et Crozon. Située au bord de la départementale D887 à 2,5 kilomètres environ à l'est de la gare de Telgruc, elle desservait le bourg d'Argol situé à 2 kilomètres au nord et n'assurait qu'un service de voyageurs. Contrairement aux autres gares de la ligne, elle est construite sur un modèle commun aux gares rurales du réseau ferroviaire français. Le bâtiment est aujourd'hui une propriété privée."
"604cbeb6-b017-4650-862d-c2f33d005097"	4	"Ancienne gare"	"Située sur l'ancienne ligne de chemin de fer à voie étroite de Châteaulin à Camaret, la gare de Telgruc est construite selon le même modèle architectural d'inspiration néo-régionaliste que les gares de Crozon, Le Fret, Tal ar Groas, Camaret. Si la construction est achevée entre 1920 et 1923, les plans ont été conçus entre 1914 et 1920 par Julien Polti, architecte des chemins de fer de l'Etat. Etablie à proximité de la route départementale, la station se trouve au point du tracé de l'ancienne ligne le plus rapproché du bourg dont elle est distante de 800 mètres environ au nord-est. Elle reste en service jusqu'en 1967, date de l'arrêt définitif du trafic ferroviaire. Le bâtiment est aujourd'hui une propriété privée."
"cb7a7dcf-7ca7-4686-bb2e-e9016119371c"	5	"Ensemble de deux ponts, le Launay (Telgruc-sur-Mer)"	"Ensemble de deux ponts construits entre 1912 et 1913, l'un lié à l'ancienne ligne de chemin de fer Châteaulin-Camaret, l'autre à la desserte des parcelles agricoles situées de part et d'autre du cours d'eau.Ces deux ponts associés enjambent la rivière de l'Aber, construits à quelques mètres l'un de l'autre. Ils sont en pierre de taille de granite, à arche unique en plein cintre et parapet en fer forgé. L'étroit pont piétonnier est construit au-dessus de la rivière de l'Aber sur une longueur de 25 mètres. Sur toute la longueur de la voûte, le lit de la rivière est pavée."
"6281eaab-5ecb-48f4-8ae6-3cc954420c77"	10	"Ancienne halte ferroviaire de Perros-Saint-Fiacre"	"L'ancienne halte de Perros-Poullouguen, appelée également Perros-Saint-Fiacre (du nom du hameau voisin), est édifiée entre 1923 et 1925, à proximité de l'étang de Kerloc'h, sur la portion de ligne reliant Crozon au Fret et à Camaret. Elle est située au point d'embranchement de ces deux directions. Bien que prévue sur le tracé du projet initial de 1910, elle est construite sur un modèle différent des gares de la presqu'île. Propriété du Conservatoire du Littoral, elle a été restaurée fin 2010 (suppression de la végétation, consolidation des murs, réfection partielle de la toiture de la gare) et peut servir de halte aux randonneurs."
"6cedad78-b344-4026-86dd-82217ba598b1"	6	"Ancienne gare de Tal ar Groas"	"Située sur l'ancienne ligne de chemin de fer à voie étroite Châteaulin-Camaret, la gare de Tal ar Groas est construite selon le même modèle architectural d'inspiration néo-régionaliste que les gares de Crozon, du Fret, de Camaret et de Telgruc. Si la construction de l'édifice est réalisée entre 1920 et 1923, les plans ont été conçus entre 1914 et 1920 par Julien Polti, architecte des chemins de fer de l'Etat. Desservant surtout le secteur de la Marine nationale et de l'école navale de Lanvéoc-Poulmic, elle reste en service jusqu'en 1967, date de l'arrêt définitif du trafic ferroviaire. Le bâtiment abrite actuellement un centre de vacances de la SNCF."
"2ddf6f41-7f45-4e16-95a0-cec801d20ab1"	7	"Ancienne gare de Crozon"	"Les bâtiments de la gare de Crozon sont achevés peu avant l'inauguration de la ligne de chemin de fer à voie étroite Châteaulin-Crozon, le 13 août 1923. Ils sont construits au nord de l'agglomération, sur les plans de Julien Polti, architecte des chemins de fer de l'Etat. En 1967, la ligne ferme définitivement. La gare et ses annexes abritent aujourd'hui les locaux de l'Office de Tourisme. La remise pour les machines accueille la permanence du Secours Populaire. La gare était associée à une station de pompage et un réservoir d'eau situés en contrebas du manoir de Gouandour à l'endroit de l'ancien moulin à eau. Le château d'eau de la gare a disparu."
"1f863dba-89df-41cc-b871-5584fb1ca295"	8	"Ancienne gare du Fret"	"Située sur l'ancienne ligne de chemin de fer liant Crozon au Fret, la gare du Fret a été construite sur les quais, selon le même modèle architectural d'inspiration néo-régionaliste que les gares de Crozon, de Tal ar Groas, de Telgruc et de Camaret. Si la construction de l'édifice est réalisée entre 1923 et 1925, les plans ont été conçus entre 1914 et 1920 par Julien Polti, architecte des chemins de fer de l'Etat. La portion de ligne qui va de Crozon jusqu'aux quais du Fret mesurait 3, 587 kilomètres, elle servait, entre autre, au chargement des coquilles Saint-Jacques et au transport des passagers venant ou allant à Brest par bateau. Cet embranchement ferme dès 1946, le train y est alors remplacé par un service d'autocar. Le bâtiment abrite actuellement un centre de vacances de la SNCF. La petite annexe qui abritait la lampisterie et les latrines a disparu."
"aa021b67-2bdc-4d9b-adba-8daf7c13058f"	9	"Ancien pont de chemin de fer, Perros-Poullouguen (Crozon)"	"La traversée du territoire par la voie ferrée coupe quelques chemins ruraux. Dans les endroits où le relief est accusé, un pont est nécessaire pour rétablir les liaisons au lieu d'un simple passage à niveau. Probablement construit avant la Première Guerre mondiale, le pont métallique de Perros-Poullouguen est unique en son genre sur la commune. Le parapet en fer riveté a disparu, remplacé par un parapet moderne."
"b0535b5a-a48a-4032-9970-7a0e36d81a91"	11	"Gare de chemin de fer"	"Souhaitée dès le début du 20e siècle, cette gare, terminus de la ligne de chemin de fer n°7 Châteaulin-Camaret, n'est inaugurée que la 14 août 1925. Le projet pourtant validé par le ministère des Travaux publics en 1910, est en effet interrompu par la guerre 14-18. Dès sa mise en route, Camaret devient la gare la plus fréquentée du réseau. Cette ligne joue alors un rôle important dans les échanges commerciaux. Elle permet, en effet, d´exporter rapidement les produits de la pêche vers les centres de ventes et d'importer des produits agricoles, comme la pommes de terre, pour la consommation locale ou l´exportation vers d´autres ports par cabotage. Ce nouveau réseau ferroviaire contribue au développement du tourisme et permet à Camaret de sortir de son isolement. En raison de nombreux accidents et de la décision des pouvoirs publics de substituer les dessertes routières aux dessertes ferroviaires, la ligne Châteaulin - Camaret ferme en 1967. La gare accueille aujourd'hui un centre de vacances au profit du comité d'entreprise de la S.N.C.F."
