id	code_reg	nom_region	iframe
regions_nouvelles.1	76	OCCITANIE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=76
regions_nouvelles.2	75	NOUVELLE-AQUITAINE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=75
regions_nouvelles.3	84	AUVERGNE-RHÔNE-ALPES	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=84
regions_nouvelles.4	27	BOURGOGNE-FRANCHE-COMTÉ	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=27
regions_nouvelles.5	44	GRAND-EST	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=44
regions_nouvelles.6	28	NORMANDIE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=28
regions_nouvelles.7	32	HAUTS-DE-FRANCE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=32
regions_nouvelles.8	24	CENTRE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=24
regions_nouvelles.9	93	PROVENCE-ALPES-COTE-D'AZUR	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=93
regions_nouvelles.10	94	CORSE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=94
regions_nouvelles.11	11	ÎLE-DE-FRANCE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=11
regions_nouvelles.12	53	BRETAGNE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=53
regions_nouvelles.13	52	PAYS-DE-LA-LOIRE	http://172.16.10.39/ws_old/demo/enr_reg.php?insee_region=52
