order,id,ville,station,t_min_moy,t_max_moy,t_moy,haut_preci,nb_moyen_jour_prec,duree_ensoleillement,nb_moyen_avec_ensolleillement_nul,mois_chaud,mois_froid,mois_humide,mois_sec,vitesse_moy_vent,comment,comment_res
4,1,Brest,Brest,"8,3","14,8","11,5",1210,159,1605,"61,7",Août,Février,Décembre,Juin,"4,5",oui,On se demande pourquoi ils n’ont pas crée les parapluies de Cherbourg à Brest …
6,2,Cherbourg-en-Cotentin,Gonneville,"7,9","13,5","10,7","882,2",132,"1538,1","84,9",Août,Février,Décembre,Juillet,"3,2",oui,"Ok ! Pour les vacances, je prévois un pull dans ma valise "
2,3,Avranches,Dinard,"8,1","15,3","11,7","758,7","129,5","1666,1","54,6",Août,Février,Novembre,Juin,"4,8",non,
1,4,Rennes,Rennes,"7,9","16,4","12,1",694,"114,4","1717,1","42,9",Août,Février,Octobre,Août,"3,7",non,
3,5,Nantes,Nantes,"8,3","16,7","12,5","819,5","119,1","1791,3","50,7",Août,Février,Décembre,Avril,"3,9",non,
9,6,Caen,Caen,"7,4","15,1","11,2","739,9","125,7","1691,2","62,7",Août,Février,Décembre,Juin,"4,7",oui,Pas si mal pour une ville normande !
5,7,Angers,Beaucouzé,"7,9","16,6","12,3","693,3","111,1","1798,5","47,7",Août,Février,Décembre,Août,"3,3",non,
8,8,Niort,Niort,"7,8","17,2","12,5","866,9","119,6","1980,3","51,3",Août,Février,Octobre,Août,"3,9",non,
7,9,Lorient,Lorient,"8,2","15,9",12,"950,9","132,4","1827,2",51,Août,Février,Décembre,Août,"4,6",non,
10,10,Saint-Brieuc,Saint-Brieuc,"7,5","14,5",11,"776,2","130,3","1564,6",54,Août,Février,Décembre,Août,"4,8",non,
