id ;ordre;annee;intitule;lieu;texte;info;image;image2
1;1;1986;Le Château dans le ciel;Pays de Galles;Vallée minière entourée de collines verdoyantes, la vallée de Rhondda a fortement inspiré Miyazaki et le studio Ghibli dans la réalisation de la ville natale de Pazu. Les anciennes constructions bâties en étages à l’intérieur des puits de mines rappellent les conditions de travail de Pazu, et, devant ces décors, on s’attendrait presque à voir Sheetah tomber du ciel, ou le navire volant des pirates de Dora s’écraser dans la campagne environnante !;La vallée de Rhondda;stories/ghibli/image/Laputa_Castle_In_The_Sky_Screenshot_0567.jpg;stories/ghibli/image/Pays-de-galles-rhondda-shutterstock.jpg
2;2;1986;Le Château dans le ciel;Australie;Toujours dans Le Château dans le Ciel, quittez la ville minière à bord de l’avion des pirates de Dora, et partez à la recherche de Laputa… Cité volante mythique née des voyages de Gulliver, elle renferme une connaissance aux confins de la magie et de la technologie, abandonnée des hommes depuis longtemps. Entre verdure et civilisation baroque éteinte, Miyazaki s’est inspiré d’un lieu réel pour décrire Laputa : le Paronella Park en Australie. Ces vestiges de châteaux espagnols recouverts de mousse, nichés dans une forêt magique, semblent renfermer les secrets du collier de Sheetah… ;Le Paronella Park;stories/ghibli/image/laputa.jpg;stories/ghibli/image/Australie-paronella-park-Shutterstock.jpg
3;3;1988;Mon voisin Totoro;Japon - préfecture de Saitama;A 1h de Tokyo, dans la campagne japonaise, une légende raconte que des petites boules de suies noires se cachent dans les greniers des maisons. Dans la forêt avoisinant le village, des petites filles racontent avoir vu passer une immense créature débonnaire à la fourrure grise. En suivant un chemin, c’est la maison traditionnelle des Kurosuke qui se dévoile aux curieux. Et que dire de cet étrange chat-bus que vous voyez furtivement voler en longeant la route ? Tokorozawa semble pleine de mystères !;Tokorozawa;stories/ghibli/image/image.jpg;stories/ghibli/image/sayama-totoro-by-Guilhem-Vellut.jpg
4;4;1989;Kiki la petite sorcière;SuŠde;C’est en Suède que le studio Ghibli a posé ses balais volants, chats doués de parole et autres curiosités magiques afin de s’inspirer des lieux pour créer Kiki la petite sorcière. Entre Stockholm et Visby, les maisons colorées au bord du littoral confèrent un charme typiquement vintage à l’univers de Kiki. Si vous souhaitez transmettre un courrier au Kiki’s Delivery Service, n’hésitez pas à fureter du côté de Gamla Stan, la vieille ville. On y croise parfois une petite fille volant sur un balai…;Stockholm;stories/ghibli/image/kiki-miyazaki.jpg;stories/ghibli/image/Kiki-lieu.jpg
5;5;1992;Porco Rosso;Croatie - Ile de Vis;Loin des profondeurs de la forêt de San, partez en hydravion rejoindre l’Adriatique ! Gorgée de soleil, cette région déploie un camaïeu d’azurs aquatiques, rehaussé par les tons chauds des bâtisses du littoral. Et c’est sur la charmante île de Vis en Croatie, au cœur de la crique paradisiaque de Stiniva, qu’un étrange homme cochon a posé son petit avion : Porco Rosso. Afin de réaliser ce film, Miyazaki a séjourné en Croatie et à Milan, lieu ayant inspiré l’une des scènes de ce film du Studio Ghibli !;La crique de Stiniva;stories/ghibli/image/Porco_Rosso_Screenshot_1702.jpg;stories/ghibli/image/Stiniva-Croatie-Shutterstock.jpg
6;6;1997;Princesse Mononoké;Japon - archipel Osumi;Princesse Mononoké est un long-métrage écologiste, dédié à la confrontation entre l’homme moderne et une nature ancienne. Afin de réaliser cette fresque, Miyazaki s’est plusieurs fois rendu dans la forêt de Yakushima, au cœur de l’archipel Osumi au sud du Japon. Ancienne forêt primaire abritant les sugi, des cyprès japonais vieux de plusieurs millénaires, cette dernière a tout d’un lieu de contes de fées : l’enchevêtrement de mousses, racines et d’essences chlorophylles confère un charme mystique et sauvage à la forêt Mononoké.;La forêt de Yakushima;stories/ghibli/image/Mononoke-image.jpg;stories/ghibli/image/Yakushima-Japon-shutterstock.jpg
7;7;2001;Le Voyage de Chihiro;Taïwan;Parmi les lieux réels ayant inspiré Miyazaki pour Le voyage de Chihiro, Jiufen figure en première position. Cette ville du Nord de Taïwan, entre mer et montagne, possède de nombreuses ruelles escarpées et enchevêtrées, dont les lumières des maisons rappellent l’ambiance si particulière du monde des esprits. Quant au palais des bains où travaillent Chihiro et Haku, ce dernier prend à Jiufen la forme d’une superbe maison à thé.;Jiufen;stories/ghibli/image/Chihiro-image.jpg;stories/ghibli/image/Jiufen-by-prelude-2000.jpg
8;8;2005;Le Château ambulant;France;Isao Takahata, le regretté co-fondateur du studio Ghibli, a toujours eu une affection particulière pour la France. On retrouve cet amour du pays dans certains films qui mêlent plusieurs influences européennes, notamment dans Le château ambulant d’Hayao Miyazaki. C’est l’Alsace et plus particulièrement Colmar qui servirent de décor à la ville de Sophie, la jeune chapelière transformée en grand-mère par un sortilège. Qui sait quelle demeure colorée de Colmar abrite un Calcifer réchauffant l’âtre ?;Colmar;stories/ghibli/image/Howls_Moving_Castle_Screenshot_0123.jpg;stories/ghibli/image/colmar-2321851.jpg
9;9;2005;Le Château ambulant;Autriche - Vienne;Si l’étrange machine du Château Ambulant semble tout droit inspirée d’une œuvre de Jean Tinguely ou d’un roman de Jules Verne, la demeure de la puissante Suliman vient, elle, d’un symbole du pouvoir impérial : le palais d’Hofburg à Vienne. Autrefois demeure de la dynastie Habsbourg, ce splendide palais baroque semble encore résonner des rires de la Cour d’Autriche et de Sissi l’impératrice. A la suite d’Hauru et de Sophie, perdez-vous dans les luxueux couloirs de cette demeure…;Le palais d'Hofburg;stories/ghibli/image/Chateau-ambulant-2.jpg;stories/ghibli/image/Vienne-palais-shutterstock.jpg
10;10;2009;Ponyo sur la falaise;Japon - préfecture d'Hiroshima;Tomonoura est un charmant ancien village de pêcheurs. Si jamais vous avez une sensation de déjà-vu, c’est normal. En effet, Tomonoura, située dans la préfecture d’Hiroshima, a inspiré le village de Ponyo sur la falaise. ;Tomonoura;stories/ghibli/image/ponyo012-1536x830.jpg;stories/ghibli/image/tomonoura.jpg
11;11;2010;Arrietty, le petit monde des chapardeurs;Japon - préfecture d'Aomori;Bien que Miyazaki soit l’homme phare derrière le Studio Ghibli, d’autres ont su réaliser de superbes productions, à l’instar d’Arrietty et les petits chapardeurs d’Hiromasa Yonebayashi. Contant les histoires d’Arrietty, une jeune fille de 10 cm dont la principale activité consiste à chaparder, le réalisateur a choisit la maison occidentale du parc de Sei-bien à Aomori comme cadre enchanteur pour son histoire. Entourée par un superbe jardin japonais de l’ère Meiji, la demeure est réalisée dans un pur style japonais au premier étage et occidental au second !;Le parc de Seibi-en;stories/ghibli/image/Arrietty-image.jpg;stories/ghibli/image/Seibien_Hirakawa_Aomori-by-663highlands.jpg
12;12;2013;Le vent se lève;Japon - préfecture de Nagano;Dans Le vent se lève, nous apercevons un hôtel : l’hôtel Kusakaru. Même façade, même terrasse, même ambiance, cet hôtel ressemble trait pour trait à l’hôtel Kamikochi Teikoku qui se trouve dans la préfecture de Nagano. Il est l’hôtel préféré des touristes visitant la ville de Mastumoto depuis près de 90 ans.;L'hôtel Kamikochi Teikoku;stories/ghibli/image/hotel-kusakaru.jpg;stories/ghibli/image/kamikochi-hotel.jpg
