ordre	id	genre	titre	acteurs	pays	realisation	production	nb_entrees	annee_tournage	date_tournage	duree_tournage	distribution	date_sortie	duree_film	url_photo	iframe	url_ba	ville_tournage_a	resume		
16	A239	LM	Western	Sergi López, Sacha Bourdo, Élisabeth Vitali 	FR	POIRIER Manuel	Salomé production	1292842	1996	octobre-novembre	56 	Diaphana Karin Beyens 01 53 46 66 66 karinbeyens@daiphana.fr	27/08/97	135'	western	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A239		Pays Bigouden, Pont-L'Abbé, Le Guilvinec et alentours, Quimper, Penmarc'h, Saint-Guénolé, Plonéour Lanvern	C'est l'histoire de Paco et Nino. Paco, l'Espagnol qui plait aux femmes et Nino, petit émigré russe, qui marchent tous deux sur les routes de Bretagne. Ils se rencontrent, c'est l'aventure de leur amitié et de leurs nombreuses rencontres.		
15	A208	LM	Astérix et Obélix contre César	Christian Clavier, Gérard Depardieu, Roberto Benigni 	FR	ZIDI Claude	Renn Productions	20732599	1998		Quelques jours	Pathé Distribution	03/02/99	109'	asterixetobelixcontrecesar	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A208 	https://www.youtube.com/embed/VpfEWtqxn6M	Morbihan	Les aventures des héros d'un célèbre village gaulois qui luttent contre les Romains et leur empereur Jules César.		
14	A217	LM	L'homme au masque de fer	Leonardo DiCaprio, Jeremy Irons, John Malkovich 	USA	WALLACE Randall		10538144	1998				01/04/98	125'	lhommeaumasquedefer	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A217	https://www.youtube.com/embed/p1LvqjaT1zE 	Château du Taureau, Baie de Morlaix	1660. Les célèbres mousquetaires se sont séparés. Athos s'est retiré sur ses terres et consacre son temps à l'éducation de son fils Raoul 	 Aramis est devenu général des jésuites 	 Porthos se languit en attendant l'occasion de ferrailler. Seul d'Artagnan est resté fidele au roi qui l'a fait capitaine des mousquetaires. Le roi va les réunir à nouveau mais sans le vouloir. Il s'est amouraché de la fiancée de Raoul, le fils d'Athos, et pour se débarrasser de ce rival, il l'envoie au front, le condamnant à une mort certaine. Athos jure alors de venger son fils.
13	A206	LM	Meilleur espoir féminin	Gérard Jugnot, Bérénice Bejo, Sabine Haudepin 	FR	JUGNOT Gérard	RF2K	1178850	1999	automne		Pathé Distribution	31/05/00	100'	meilleurespoirfeminin	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A206 	https://www.youtube.com/embed/n6F4D7BOmBk 	Cancale, Cancale et alentours, Vitré	Coiffeur par vocation, Yvon Rance, la quarantaine elegante et la prothese capillaire bien ajustee, regne dans sa Bretagne natale sur une clientele de vieilles dames. Mais sa raison d'etre, son chef-d'oeuvre, c'est Laetitia, sa fille unique qu'il eleve seul depuis bientot dix-huit ans. Pour elle, il imagine un avenir grandiose: elle sera coiffeuse dans un grand salon pour le troisieme millenaire, a Laval ou a Quimper. Laetitia, elle, reve autrement. En secret, elle a passe des essais pour le cinema et c'est elle qui a ete choisie pour le premier role. Sa vie va basculer.		
12	A182	LM	Le peuple migrateur	Jacques Perrin, Philippe Labro 	FR	PERRIN Jacques, CLUZAUD Jacques, DEBATS Michel		4513872	2001				12/12/01	100'	lepeuplemigrateur	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A182	https://www.youtube.com/embed/ZvQJRuuWeBU 	Penmarc'h, Saint-Guénolé, PNR Brière	Quatre ans après Microcosmos, le peuple de l'herbe, le producteur et réalisateur Jacques Perrin a parcouru la planète entière pour suivre le vol d'une trentaine d'espèces d'oiseaux migrateurs : grues, oies, cygnes, cigognes, canards... et découvrir leurs escales saisonnières. Avec ce conte réel, il a également voulu montrer la précarité de leur vie et leur inaltérable beauté.		
11	A188	LM	Quinze août	Richard Berry, Charles Berling, Jean-Pierre Darroussin 	FR	ALESSANDRIN Patrick	Luc Besson	1386957	2001			Fox Pathé Europa	18/04/01	92'	15aout	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A188	https://www.youtube.com/embed/khGyjA_JUDQ 	La Baule-Escoublac, Le Pouliguen, Guérande	Max, Raoul et Vincent sont trois pères de famille qui rejoignent, le week-end du 15 août, leurs femmes à La Baule. Cependant, les épouses, lassées par quinze jours de pluie et de garde d'enfants, se sont eclipsées. Ce week-end tant attendu va réserver à ces maris largués quelques surprises.		
10	A169	LM	Après vous...	Daniel Auteuil, José Garcia, Sandrine Kiberlain 	FR	SALVADORI Pierre	Pelléas Films	1076551	2002	octobre	7 	Mars Distribution	17/12/03	110'	apresvous	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A169	https://www.youtube.com/embed/33D6mhIdVc0 	Cap Fréhel, Pléherel, Plurien, Erquy	Antoine est maître d'hôtel dans une brasserie parisienne. Un soir, en rentrant du travail, il sauve un inconnu du suicide. Se sentant étrangement coupable d'avoir sauvé la vie de cet homme, Antoine n'a de cesse de vouloir l'aider, le réparer. Mais il a beau faire, Louis n'a qu'une seule obsession, Blanche, la femme de sa vie, celle à cause de qui il a voulu mourir... Sans en parler à son nouvel ami, Antoine décide de la retrouver. Mais les choses ne se passent pas tout à fait comme prévues. Blanche n'est pas seule, et surtout elle est belle...		
9	A167	LM	Un long dimanche de fiançailles	Audrey Tautou, Gaspard Ulliel, Jodie Foster	FR	JEUNET Jean-Pierre	2003 Productions 01 47 22 96 33	6483698	2003	septembre	28	Warner Bros	27/10/04	2'14	unlongdimanchedefiancailles	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A167	https://www.youtube.com/embed/8-DQlKJPnPU 	Lannion, Lannion et alentours, Morlaix, Locronan, Penmarc'h	"En 1919, Mathilde a 19 ans. Deux ans plus tôt, son fiancé Manech est parti sur le front de la Somme. Comme des millions d'autres, il est ""mort au champ d'honneur"". C'est écrit noir sur blanc sur l'avis officiel. Pourtant, Mathilde refuse d'admettre cette évidence. Si Manech était mort, elle le saurait ! Elle se raccroche à son intuition comme au dernier fil ténu qui la relierait encore à son amant. Un ancien sergent a beau lui raconter que Manech est mort sur le no man's land d'une tranchée nommée Bingo Crépuscule, en compagnie de quatre autres condamnés à mort pour mutilation volontaire ; rien n'y fait. Mathilde refuse de lâcher le fil. Elle s'y cramponne avec la foi du charbonnier et se lance dans une véritable contre-enquête. De faux espoirs en incertitudes, elle va démêler peu à peu la vérité sur le sort de Manech et de ses quatre camarades."		
8	A142	LM	Jean-philippe	Fabrice Luchini, Johnny Hallyday	FR	TUEL Laurent	Fidélité Films amelia@fidelite.fr	1282231	2005	19/09/2005	2 	Mars Distribution	05/04/06	90'	jeanphilippe	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A142	https://www.youtube.com/embed/v-fjJDyJzOk 	Quiberon, Côte Sauvage	"Fabrice, cadre moyen, est un fan absolu de Johnny Hallyday, peut-être même le plus grand... Mais un jour, il se réveille dans une réalité différente, un monde parallèle où Johnny n'existe pas. Perdu, orphelin, il se met alors à la recherche de Jean-Philippe Smet, pour savoir ce qu'il est devenu dans cette autre dimension, et lorsqu'il le retrouve enfin, c'est pour découvrir un patron de bowling, un type comme les autres qui n'est jamais devenu une star. Fabrice n'a plus qu'un seul but : ressusciter son idole, réveiller le ""Johnny"" qui sommeille en Jean-Philippe. Mais Jean-Philippe peut-il devenir en quelques mois ce que Johnny Hallyday a mis des années à construire ? Les deux compères ont 40 ans de ""Johnny"" à rattraper ! A travers l'aventure de ce pari impossible, une amitié extraordinaire va naître entre les deux hommes..."		
7	A123	LM	Astérix aux jeux olympiques	Gérard Depardieu, Clovis Cornillac, Benoît Poelvoorde 	FR	LANGMANN Thomas et FORESTIER Frédéric	La Petite Reine	13505879	2007	06-juil.	1  	Pathé Distribution	30/01/08	90'	asterixauxjeuxolympiques	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A123	https://www.youtube.com/embed/OlKdLmN0Ggc	Erquy	Pour remporter les Jeux Olympiques et permettre au jeune Alafolix d'épouser la Princesse Irina, Astérix et Obélix devront affronter le machiavélique Brutus, fils de César, au cours d'une Olympiade.		
6	A116	LM	Le code a changé	Karin Viard, Dany Boon, Marina Foïs	FR	THOMPSON Danièle	Thelma Films	1853245	2008	du 09/06 au 10/06	2 	StudioCanal	18/02/12	100'	lecodeachange	http://kartenn.region-bretagne.fr/storymap/stories/tournage_bzh/info_film.php?id=A116	https://www.youtube.com/embed/EvxsBhMNtO0 	Saint-Suliac, Saint-Malo	Un dîner, c'est la dictature de l'apparence : on se fait beau, on rit, on raconte, on frime, on partage souvenirs et projets. Les angoisses sont cachées sous l'humour et les chagrins étouffés par les éclats de rire. Et pour quelques heures, on y croit ! C'est ça le principal... Si on a le bon code et que l'on respecte les autres, cordialité, hypocrisie, bonne humeur, on risque de passer une bonne soirée... Mais les masques tombent dès le chemin du retour.		
